,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
4737,7a6f50a1-efc4-48fd-a591-074998d403c5,614463,Landing Page Submission,Google,No,No,1,8.0,1620,4.0,Email Opened,India,"Banking, Investment And Insurance",Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
4738,4d8abdc1-428b-48dd-bdd1-23674817f6aa,614458,Landing Page Submission,Organic Search,No,No,1,7.0,845,7.0,Email Link Clicked,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Link Clicked
4743,42bf793a-271d-4f84-aac2-107063c3b1cc,614324,Landing Page Submission,Google,No,No,1,2.0,1507,2.0,SMS Sent,India,Supply Chain Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,SMS Sent
4761,87570166-8897-4896-8f93-86e7a5feaa66,614200,Landing Page Submission,Direct Traffic,No,No,1,4.0,30,2.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
4769,1b823b32-666f-40c6-857f-39928aae85c9,614132,Landing Page Submission,Google,No,No,1,9.0,185,3.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
4814,d5312a24-2330-4d26-aa99-41816f77b03a,613809,Landing Page Submission,Google,No,No,0,6.0,324,3.0,Email Opened,India,"Banking, Investment And Insurance",Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
4819,a7005c82-4010-4604-a9a2-44dad06e29fb,613738,Landing Page Submission,Google,No,No,1,7.0,242,3.5,Page Visited on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,Page Visited on Website
4822,3c3241a1-2fcf-4e63-ac2b-ec8ef4f74026,613707,Landing Page Submission,Google,No,No,1,5.0,1826,2.5,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Email Opened
4823,9762d644-a6b6-4048-921a-2b6294ef7940,613698,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,125,2.0,Unsubscribed,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Unsubscribed
4844,5d421eb5-c831-45eb-8c63-c21027815c13,613574,Landing Page Submission,Direct Traffic,No,No,1,4.0,1502,2.0,SMS Sent,India,Business Administration,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4860,729e244b-5298-4cec-b31d-ac620bd1af81,613438,Landing Page Submission,Google,No,No,1,7.0,1398,3.5,SMS Sent,India,Media and Advertising,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4872,52d52ea4-deb0-4c09-a59d-ebb049175801,613326,Landing Page Submission,Direct Traffic,No,No,1,2.0,41,2.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4875,267dbbf0-4cb3-4322-8f38-6520ed556883,613289,Landing Page Submission,Google,No,No,1,4.0,1115,4.0,Page Visited on Website,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Modified
4877,63853bad-66e8-45d4-8e2e-4eaf9e6d8285,613210,Landing Page Submission,Google,No,No,1,4.0,1148,4.0,SMS Sent,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,SMS Sent
4880,d0f1c1a3-7e75-4e46-b809-c08312967acc,613193,Landing Page Submission,Google,No,No,1,5.0,1436,5.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
4884,bcde9e41-849f-4d50-b74e-875ab755393d,613148,Landing Page Submission,Google,No,No,0,5.0,497,5.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
4893,ce165d5b-d2f6-437c-8cb8-f496b381a898,613035,Landing Page Submission,Google,No,No,0,4.0,395,2.0,SMS Sent,India,IT Projects Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
4907,6e5cc9ba-5810-4cdb-9fee-3f72dd6965ab,612884,Landing Page Submission,Google,No,No,0,3.0,256,3.0,Form Submitted on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
4925,bb3b2d13-d320-41a4-9cd1-5b45720c4b92,612740,Landing Page Submission,Google,No,No,1,4.0,827,4.0,Page Visited on Website,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Modified
4937,413fb82a-0eaa-4e44-a0f1-07276f790d4f,612658,Landing Page Submission,Google,No,No,0,3.0,234,3.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,SMS Sent
4955,f04442c7-78a6-476b-90bd-6910f645ad78,612484,API,Google,No,No,1,9.0,1416,1.8,SMS Sent,India,Human Resource Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4961,a9ea3237-c91c-4a93-b7e8-f6550511bff1,612424,Landing Page Submission,Google,No,No,0,2.0,663,2.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
4969,0312a7b6-fb01-4a9f-93a3-91e7fbb72cfa,612266,Landing Page Submission,Google,No,No,1,6.0,942,3.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Low in Relevance,No,No,Other Leads,Other Cities of Maharashtra,No,No,Email Opened
4999,fac199bb-77f8-4476-bc5b-0716ca7bcfdd,611935,Landing Page Submission,Google,No,No,0,4.0,305,4.0,Page Visited on Website,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Other Cities,No,Yes,Modified
5012,eeb72051-d35b-46b4-9a19-1514bd0ef0f6,611790,Landing Page Submission,Google,No,No,1,3.0,1033,3.0,SMS Sent,India,"Banking, Investment And Insurance",SMS,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,SMS Sent
5031,4dacd5d1-eb2e-41db-9f1b-96aa35273de9,611543,API,Organic Search,No,No,0,4.0,29,1.33,Form Submitted on Website,India,E-Business,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
5147,dc045633-a62c-45a8-ab16-83dbeef01766,610472,Landing Page Submission,Organic Search,No,No,0,16.0,262,8.0,Page Visited on Website,India,Rural and Agribusiness,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Other Cities,No,No,Page Visited on Website
5170,27798b48-b750-464e-b1bc-7474a7e0e388,610294,Landing Page Submission,Google,No,No,1,5.0,284,2.5,SMS Sent,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
5173,909a260f-f5fe-4c8a-82bf-997700a58fa2,610273,Landing Page Submission,Google,No,No,1,5.0,1171,5.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,SMS Sent
5179,6f2ca9ae-1ed2-44be-b852-c74e3556d4dc,610199,Landing Page Submission,Google,No,No,1,5.0,1397,2.5,Page Visited on Website,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Modified
5233,dd396032-e60b-48ca-b3cd-eda97a3b6019,609620,Landing Page Submission,Google,No,No,1,4.0,1770,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
5241,fa73cecb-0e13-47be-9408-26637d43d2cc,609574,Landing Page Submission,testone,No,No,0,5.0,304,2.5,Page Visited on Website,India,Human Resource Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Page Visited on Website
5251,a35b3a91-4c58-40a8-9628-1aabefa2a437,609489,Landing Page Submission,Google,No,No,1,4.0,1304,4.0,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
5263,d74d7137-0628-4952-ad2a-d0d760ab3437,609425,Landing Page Submission,Google,No,No,1,4.0,1547,4.0,SMS Sent,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5288,f709f401-c1e7-44c1-8b08-a4af6765a02d,609203,Landing Page Submission,Google,No,No,0,4.0,690,4.0,Email Opened,India,Others,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
5295,a2d56471-2f20-440f-be97-1418698245e0,609181,Landing Page Submission,Google,No,No,0,3.0,295,3.0,Page Visited on Website,India,Supply Chain Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Modified
5304,a6d4bded-ecc2-4802-9449-09091baad4ee,609137,Landing Page Submission,Google,No,No,1,3.0,1379,3.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5326,454a0a2c-d430-41bc-b66c-9988bd1b0108,608967,Landing Page Submission,Google,No,No,1,10.0,97,3.33,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Email Opened
5363,9a4058e0-9795-4627-bdbe-f76914341e69,608711,Landing Page Submission,Google,No,No,1,4.0,1606,4.0,SMS Sent,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5371,8b2bf4d0-4b5c-44b9-a1c7-27ca4a5fde04,608635,Landing Page Submission,Google,No,No,0,2.0,942,2.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
5375,8db35f93-70d8-46d0-ae56-9b973830493c,608606,Landing Page Submission,Google,No,No,0,3.0,301,3.0,Email Opened,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
5389,12a1dc41-d017-4eda-a559-9350f160e444,608492,Landing Page Submission,Google,No,No,1,2.0,1318,2.0,SMS Sent,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5395,4165f0cf-c3d4-4100-a673-783696387269,608451,Landing Page Submission,Direct Traffic,No,No,1,4.0,1503,2.0,SMS Sent,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5413,cdd73bee-0044-47be-9d40-27c1150762a0,608349,Landing Page Submission,Google,No,No,1,7.0,970,2.33,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
5426,c366e6bc-ef67-4711-bbf1-1ad7dbec2851,608284,Landing Page Submission,Google,No,No,1,2.0,910,2.0,Olark Chat Conversation,India,Supply Chain Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
5437,579cb3ad-9918-4cfc-9561-4ef446c7b2b2,608233,Landing Page Submission,Organic Search,No,No,0,23.0,176,2.56,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
5443,90e1c0f2-a715-4b0d-9e67-a03cce9c12df,608183,Landing Page Submission,Google,No,No,1,3.0,1646,3.0,SMS Sent,India,Rural and Agribusiness,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
5460,05dadf73-e77d-4a00-8745-4c08ccd7378e,608106,Landing Page Submission,Google,No,No,1,4.0,1375,4.0,SMS Sent,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,SMS Sent
5490,130fa4f2-293b-4cd0-8e5c-5cb9974340fb,607799,Landing Page Submission,Google,No,No,1,7.0,1600,2.33,Email Opened,India,Human Resource Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
5585,28719d95-2d8d-4526-b13c-4cc213bae8a0,607115,Landing Page Submission,Direct Traffic,No,No,1,18.0,217,1.64,Page Visited on Website,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Page Visited on Website
5589,c167a670-ea3d-454a-bfc1-84d5c4d48d09,607101,API,Google,No,No,1,4.0,357,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
5614,b0426acd-24a3-4271-b061-3c93b21016dc,606902,Landing Page Submission,Google,No,No,0,4.0,355,4.0,Page Visited on Website,India,Supply Chain Management,Student of SomeSchool,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Page Visited on Website
5622,12f7bec6-3356-46bb-b513-525b12ce92c2,606851,Landing Page Submission,Google,No,No,0,5.0,366,2.5,Email Opened,India,Media and Advertising,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
5637,a137659a-3875-4168-9353-2adf499be078,606704,Landing Page Submission,Google,No,No,1,3.0,204,3.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5662,8d948929-bbc0-4fd8-b9a4-744112b31f70,606559,Landing Page Submission,Google,No,No,1,4.0,1659,4.0,Email Opened,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
5669,9fb5910d-332c-4c70-8795-fbe8777983e6,606513,Landing Page Submission,Google,No,No,0,5.0,349,5.0,SMS Sent,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
5719,63133104-1c19-439f-a348-4022880c3cc6,606086,Landing Page Submission,Google,No,No,1,3.0,1905,3.0,Email Opened,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
5747,482073ae-0a65-4ea6-9365-833dfa771711,605693,Landing Page Submission,Google,No,No,1,3.0,1052,3.0,Email Opened,India,IT Projects Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
5756,e89bab68-d8cf-4844-82bf-66dd87ce03f1,605617,Landing Page Submission,Google,No,No,0,5.0,185,2.5,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
5769,c7cb9468-c96d-45cd-b232-732c2484b084,605469,Landing Page Submission,Direct Traffic,No,No,1,11.0,1478,2.75,SMS Sent,India,Supply Chain Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5798,c65932a8-9c21-4a58-b1f9-3e2928153de6,605295,Landing Page Submission,Google,No,No,0,9.0,367,2.25,Email Link Clicked,India,Human Resource Management,SMS,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Link Clicked
5815,602c230a-619f-4afe-bdd6-4cd66a523d73,605240,Lead Add Form,Reference,No,No,1,2.0,426,2.0,Email Opened,India,IT Projects Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
5828,9a7004cc-a702-4dea-b643-54010ff97c8e,605182,Landing Page Submission,Direct Traffic,No,No,0,3.0,62,1.5,SMS Sent,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
5858,6cfe6c76-2b41-4b37-a65e-9af08747a81f,604992,Landing Page Submission,Google,No,No,1,2.0,1139,2.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
5862,93c4a11a-b341-4c5b-8cd9-786307af3d1e,604969,Landing Page Submission,Organic Search,No,No,1,11.0,1549,1.57,Olark Chat Conversation,India,Hospitality Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Modified
5895,49fd9db8-2f1f-457e-8a6f-5c6f7685018c,604698,Landing Page Submission,Google,No,No,1,3.0,552,3.0,SMS Sent,India,Media and Advertising,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
5935,f0a40126-3c6d-4dee-9ff7-41018ee1571b,604321,Landing Page Submission,Google,No,No,0,4.0,128,4.0,Email Link Clicked,India,Hospitality Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Tier II Cities,No,No,Email Link Clicked
5952,25f06e4f-6563-44e7-a246-dd3ed0428e5d,604199,Landing Page Submission,Google,No,No,1,14.0,1442,2.8,Olark Chat Conversation,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,Olark Chat Conversation
5975,947564c9-a98d-4014-8302-3acbf4377e2a,604007,Landing Page Submission,Google,No,No,1,5.0,938,5.0,Email Opened,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Metro Cities,No,No,Email Opened
5983,885cebb1-eac3-4949-b9e1-aeb746a20ca8,603943,Landing Page Submission,Google,No,No,1,5.0,977,5.0,Email Opened,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
5991,4b5e2b26-03ad-4979-aa3d-0c84182fc565,603864,Landing Page Submission,Google,No,No,1,3.0,126,3.0,SMS Sent,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Metro Cities,No,No,SMS Sent
6017,5e8b601c-8118-4d05-9c97-09c026e946e9,603637,Landing Page Submission,Direct Traffic,No,No,1,3.0,1385,3.0,Email Opened,India,Human Resource Management,Word Of Mouth,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Other Leads,Other Cities of Maharashtra,No,No,Email Opened
6040,5c8e31eb-e250-418c-a9d1-d0c0ba56ad0d,603490,Landing Page Submission,Google,No,No,1,7.0,1568,7.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
6050,b20e6cce-378d-42cf-8575-8278f26616e2,603400,Landing Page Submission,Google,No,No,0,5.0,248,2.5,Olark Chat Conversation,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Thane & Outskirts,No,No,Modified
6070,ede1d99a-4746-4a37-9f57-9a54b36b1c2b,603270,Landing Page Submission,Google,No,No,1,3.0,763,3.0,Form Submitted on Website,India,Media and Advertising,Other,Housewife,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Thane & Outskirts,No,No,Modified
6085,eeff8ee1-bfdd-474c-b30a-d95534fa521a,603156,Landing Page Submission,Direct Traffic,No,No,1,6.0,1131,6.0,SMS Sent,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Mumbai,No,Yes,SMS Sent
6115,6a6da795-6c7b-475c-8a47-bbf3e49f88ba,602826,Landing Page Submission,Google,No,No,1,5.0,1297,2.5,Email Opened,India,Travel and Tourism,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
6134,a83e205a-a978-4afa-9681-3430f6713fa0,602710,Landing Page Submission,Direct Traffic,No,No,1,3.0,936,3.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
6144,13931a86-7053-4522-af99-9e6ae1a6e9b8,602666,Landing Page Submission,Google,No,No,0,4.0,913,4.0,Olark Chat Conversation,India,International Business,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Modified
6153,7bcca8a9-60ab-4a36-a7f9-cd85aeb10a70,602582,Landing Page Submission,Google,No,No,0,4.0,660,4.0,Email Opened,India,Business Administration,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
6200,8ed7c563-78bc-4492-a1df-2f876284e389,602254,Landing Page Submission,Google,No,No,1,4.0,298,4.0,Email Opened,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Low in Relevance,No,No,Lateral Student,Thane & Outskirts,No,No,Email Opened
6202,1000939d-7c19-4bd1-9f9b-eeca7530419e,602233,Landing Page Submission,Google,No,No,0,2.0,18,2.0,Form Submitted on Website,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
6275,45a4cd75-dad7-4d45-9524-04527c226e1c,601710,Landing Page Submission,Google,No,No,0,3.0,175,3.0,Page Visited on Website,India,Others,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Modified
6276,bffe92b7-0a85-423a-8ae3-21e3d7fbcf25,601708,Landing Page Submission,Google,No,No,1,5.0,1049,2.5,Page Visited on Website,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Page Visited on Website
6281,302aa0f0-9461-470e-9bb7-29944d4778ad,601657,Landing Page Submission,Google,No,No,0,4.0,1577,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
6300,b0bce721-f716-4349-bce1-a1ccec0fa4c2,601552,Landing Page Submission,Organic Search,No,No,1,14.0,1555,14.0,Email Opened,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Modified
