Option,Explanation
--optimization-guide-fetch-hints-override ,Overrides scheduling and time delays for fetching hints and causes a hints fetch immediately on start up using the provided comma separate lists of hosts.
--optimization-guide-fetch-hints-override-timer ,"Overrides the hints fetch scheduling and delay, causing a hints fetch immediately on start up using the TopHostProvider. This is meant for testing."
--optimization-guide-service-api-key ,Overrides the Optimization Guide Service API Key for remote requests to be made.
--optimization-guide-service-url ,Overrides the Optimization Guide Service URL that the HintsFetcher will request remote hints from.
--optimization_guide_hints_override ,"Overrides the Hints Protobuf that would come from the component updater. If the value of this switch is invalid, regular hint processing is used. The value of this switch should be a base64 encoding of a binary Configuration message, found in optimization_guide's hints.proto. Providing a valid value to this switch causes Chrome startup to block on hints parsing."
--origin-trial-disabled-features ,"Contains a list of feature names for which origin trial experiments should be disabled. Names should be separated by ""|"" characters."
--origin-trial-disabled-tokens ,"Contains a list of token signatures for which origin trial experiments should be disabled. Tokens should be separated by ""|"" characters."
--origin-trial-public-key ,Overrides the default public key for checking origin trial tokens.
--original-process-start-time ,The time that a new chrome process which is delegating to an already running chrome process started. (See ProcessSingleton for more details.)
--output ,No description
--override ,"""Override"" value for kCrosRegionsMode (region's data is read first)."
--override-enabled-cdm-interface-version ,"Overrides the default enabled library CDM interface version(s) with the one specified with this switch, which will be the only version enabled. For example, on a build where CDM 8, CDM 9 and CDM 10 are all supported (implemented), but only CDM 8 and CDM 9 are enabled by default: --override-enabled-cdm-interface-version=8 : Only CDM 8 is enabled --override-enabled-cdm-interface-version=9 : Only CDM 9 is enabled --override-enabled-cdm-interface-version=10 : Only CDM 10 is enabled --override-enabled-cdm-interface-version=11 : No CDM interface is enabled This can be used for local testing and debugging. It can also be used to enable an experimental CDM interface (which is always disabled by default) for testing while it's still in development."
--override-hardware-secure-codecs-for-testing ,"Overrides hardware secure codecs support for testing. If specified, real platform hardware secure codecs check will be skipped. Codecs are separated by comma. Valid codecs are ""vp8"", ""vp9"" and ""avc1"". For example: --override-hardware-secure-codecs-for-testing=vp8,vp9 --override-hardware-secure-codecs-for-testing=avc1 CENC encryption scheme is assumed to be supported for the specified codecs. If no valid codecs specified, no hardware secure codecs are supported. This can be used to disable hardware secure codecs support: --override-hardware-secure-codecs-for-testing"
--override-metrics-upload-url ,Override the URL to which metrics logs are sent for debugging.
--override-plugin-power-saver-for-testing ,Override the behavior of plugin throttling for testing. By default the throttler is only enabled for a hard-coded list of plugins. Set the value to 'always' to always throttle every plugin instance. Set the value to 'never' to disable throttling.
--override-use-software-gl-for-tests ,Forces the use of software GL instead of hardware gpu.
--ozone-dump-file ,Specify location for image dumps.
--ozone-platform ,Specify ozone platform implementation to use.
--pack-extension ,Packages an extension to a .crx installable file from a given directory.
--pack-extension-key ,Optional PEM private key to use in signing packaged .crx.
--parent-window ,No description
--passive-listeners-default ,Override the default value for the 'passive' field in javascript addEventListener calls. Values are defined as: 'documentonlytrue' to set the default be true only for document level nodes. 'true' to set the default to be true on all nodes (when not specified). 'forcealltrue' to force the value on all nodes.
--passthrough ,No description
--password-store ,"Specifies which encryption storage backend to use. Possible values are kwallet, kwallet5, gnome, gnome-keyring, gnome-libsecret, basic. Any other value will lead to Chrome detecting the best backend automatically. TODO(crbug.com/571003): Once PasswordStore no longer uses the Keyring or KWallet for storing passwords, rename this flag to stop referencing passwords. Do not rename it sooner, though; developers and testers might rely on it keeping large amounts of testing passwords out of their Keyrings or KWallets."
--pdf_compositor ,No description
--pen-devices[18] ,Tells chrome to interpret events from these devices as pen events. Only available with XInput 2 (i.e. X server 1.8 or above). The id's of the devices can be retrieved from 'xinput list'.
--perf-test-print-uma-means ,Show the mean value of histograms that native performance tests are monitoring. Note that this is only applicable for PerformanceTest subclasses.
--perfetto-disable-interning ,Repeat internable data for each TraceEvent in the perfetto proto format.
--perfetto-output-file ,"If supplied, will enable Perfetto startup tracing and stream the output to the given file. TODO(oysteine): Remove once Perfetto starts early enough after process startup to be able to replace the legacy startup tracing."
--performance[6] ,No description
--permission-request-api-scope ,Development flag for permission request API. This flag is needed until the API is finalized. TODO(bauerb): Remove when this flag is not needed anymore.
--permission-request-api-url ,Development flag for permission request API. This flag is needed until the API is finalized. TODO(bauerb): Remove when this flag is not needed anymore.
--post-reboot ,Indicates this run is post-reboot.
--post-reboot-override-cmd ,"Indicates that this is a post-reboot run that should fetch its switches from an external registry key. Important note: When this switch is present in the command line, all other switches are ignored except for kCleanupIdSwitch, which is used to read post-reboot switches from the correct registry location."
--post-reboot-trigger ,A freeform text string that records what triggered a post-reboot run.
--ppapi ,No description
--ppapi-antialiased-text-enabled[1] ,The boolean value (0/1) of FontRenderParams::antialiasing to be passed to Ppapi processes.
--ppapi-broker ,No description
--ppapi-flash-args ,"""Command-line"" arguments for the PPAPI Flash; used for debugging options."
--ppapi-flash-path ,Use the PPAPI (Pepper) Flash found at the given path.
--ppapi-flash-version ,"Report the given version for the PPAPI (Pepper) Flash. The version should be numbers separated by '.'s (e.g., ""12.3.456.78""). If not specified, it defaults to ""10.2.999.999""."
--ppapi-in-process ,Runs PPAPI (Pepper) plugins in-process.
--ppapi-plugin-launcher ,"Specifies a command that should be used to launch the ppapi plugin process. Useful for running the plugin process through purify or quantify. Ex: --ppapi-plugin-launcher=""path\to\purify /Run=yes"""
--ppapi-startup-dialog ,Causes the PPAPI sub process to display a dialog on launch. Be sure to use --no-sandbox as well or the sandbox won't allow the dialog to display.
--ppapi-subpixel-rendering-setting[1] ,The enum value of FontRenderParams::subpixel_rendering to be passed to Ppapi processes.
--previous-app ,previous-app should be the app that was running when last-launched-app started.
--print-to-pdf ,Save a pdf file of the loaded page.
--privet-ipv6-only ,Use IPv6 only for privet HTTP.
--process-per-site ,"Enable the ""Process Per Site"" process model for all domains. This mode consolidates same-site pages so that they share a single process. More details here: - https://www.chromium.org/developers/design-documents/process-models - The class comment in site_instance.h, listing the supported process models. IMPORTANT: This isn't to be confused with --site-per-process (which is about isolation, not consolidation). You probably want the other one."
--process-per-tab ,"Runs each set of script-connected tabs (i.e., a BrowsingInstance) in its own renderer process. We default to using a renderer process for each site instance (i.e., group of pages from the same registered domain with script connections to each other). TODO(creis): This flag is currently a no-op. We should refactor it to avoid ""unnecessary"" process swaps for cross-site navigations but still swap when needed for security (e.g., isolated origins)."
--product-version ,Outputs the product version information and quit. Used as an internal api to detect the installed version of Chrome on Linux.
--profile-directory ,Selects directory of profile to associate with the first browser launched.
--profile-requires-policy ,"If set to ""true"", the profile requires policy during restart (policy load must succeed, otherwise session restart should fail)."
--profiling ,No description
--profiling-at-start ,Starts the sampling based profiler for the browser process at startup. This will only work if chrome has been built with the gn arg enable_profiling = true. The output will go to the value of kProfilingFile.
--profiling-file ,Specifies a location for profiling output. This will only work if chrome has been built with the gyp variable profiling=1 or gn arg enable_profiling=true. {pid} if present will be replaced by the pid of the process. {count} if present will be incremented each time a profile is generated for this process. The default is chrome-profile-{pid} for the browser and test-profile-{pid} for tests.
--profiling-flush ,Controls whether profile data is periodically flushed to a file. Normally the data gets written on exit but cases exist where chromium doesn't exit cleanly (especially when using single-process). A time in seconds can be specified.
--progress-bar-animation[8] ,Specifies Android phone page loading progress bar animation.
--proxy-auto-detect ,Forces proxy auto-detection.
--proxy-bypass-list ,"Specifies a list of hosts for whom we bypass proxy settings and use direct connections. Ignored unless --proxy-server is also specified. This is a comma-separated list of bypass rules. See: ""net/proxy_resolution/proxy_bypass_rules.h"" for the format of these rules."
--proxy-pac-url ,Uses the pac script at the given URL
--proxy-server ,"Uses a specified proxy server, overrides system settings. This switch only affects HTTP and HTTPS requests."
--pseudo ,No description
--public-accounts-saml-url ,Url addrress of SAML provider for a SAML public session. TODO: Remove when https://crbug.com/984021 is fixed.
--pull-to-refresh ,"Enables or disables pull-to-refresh gesture in response to vertical overscroll. Set the value to '0' to disable the feature, set to '1' to enable it for both touchpad and touchscreen, and set to '2' to enable it only for touchscreen. Defaults to disabled."
--purge_hint_cache_store ,"Purges the hint cache store on startup, so that it's guaranteed to be using fresh data."
--quarantine-dir ,Specifies the quarantine folder instead of the default one.
--rdp_desktop_session ,No description
--reader-mode-feedback ,No description
--reader-mode-heuristics ,No description
--realtime-reporting-url ,Specifies the URL at which to upload real-time reports.
--rebaseline-pixel-tests[3] ,Makes browser pixel tests overwrite the reference if it does not match.
--redirect-libassistant-logging ,Redirects libassistant logging to /var/log/chrome/.
--register-font-files ,Registers additional font files on Windows (for fonts outside the usual %WINDIR%\Fonts location). Multiple files can be used by separating them with a semicolon (;).
--register-pepper-plugins ,Register Pepper plugins (see pepper_plugin_list.cc for its format).
--regulatory-label-dir ,"The name of the per-model directory which contains per-region subdirectories with regulatory label files for this model. The per-model directories (if there are any) are located under ""/usr/share/chromeos-assets/regulatory_labels/""."
--relauncher[7] ,A process type (switches::kProcessType) that relaunches the browser. See chrome/browser/mac/relauncher.h.
--remote-debugging-address ,"Use the given address instead of the default loopback for accepting remote debugging connections. Should be used together with --remote-debugging-port. Note that the remote debugging protocol does not perform any authentication, so exposing it too widely can be a security risk."
--remote-debugging-pipe ,"Enables remote debug over stdio pipes [in=3, out=4]. Optionally, specifies the format for the protocol messages, can be either ""JSON"" (the default) or ""CBOR""."
--remote-debugging-port ,Enables remote debug over HTTP on the specified port.
--remote-debugging-socket-name[8] ,Enables remote debug over HTTP on the specified socket name.
--remote-debugging-targets ,"Porvides a list of addresses to discover DevTools remote debugging targets. The format is <host>:<port>,...,<host>:port."
--remove-scan-only-uws ,Allow the engine to remove UwS that isn't marked cleanable. For testing only.
--renderer ,No description
--renderer-client-id ,No description
--renderer-cmd-prefix ,"The contents of this flag are prepended to the renderer command line. Useful values might be ""valgrind"" or ""xterm -e gdb --args""."
--renderer-process-limit ,Overrides the default/calculated limit to the number of renderer processes. Very high values for this setting can lead to high memory/resource usage or instability.
--renderer-sampling ,No description
--renderer-startup-dialog ,"Causes the renderer process to display a dialog on launch. Passing this flag also adds service_manager::kNoSandbox on Windows non-official builds, since that's needed to show a dialog."
--renderer-wait-for-java-debugger[8] ,Block ChildProcessMain thread of the renderer's ChildProcessService until a Java debugger is attached.
--renderpass ,No description
--repl ,Runs a read-eval-print loop that allows the user to evaluate Javascript expressions.
--report-vp9-as-an-unsupported-mime-type ,Force to report VP9 as an unsupported MIME type.
--require-audio-hardware-for-testing ,"When running tests on a system without the required hardware or libraries, this flag will cause the tests to fail. Otherwise, they silently succeed."
--require-wlan ,Only connect to WLAN interfaces.
--reset-variation-state ,"Forces a reset of the one-time-randomized FieldTrials on this client, also known as the Chrome Variations state."
--restore-last-session ,"Indicates the last session should be restored on startup. This overrides the preferences value. Note that this does not force automatic session restore following a crash, so as to prevent a crash loop. This switch is used to implement support for OS-specific ""continue where you left off"" functionality on OS X and Windows."
--rlz-ping-delay ,The rlz ping delay (in seconds) that overwrites the default value.
--rtl ,No description
--run-all-compositor-stages-before-draw ,Effectively disables pipelining of compositor frame production stages by waiting for each stage to finish before completing a frame.
--run-manual ,Manual tests only run when --run-manual is specified. This allows writing tests that don't run automatically but are still in the same test binary. This is useful so that a team that wants to run a few tests doesn't have to add a new binary that must be compiled on all builds.
--run-web-tests ,Request the render trees of pages to be dumped as text once they have finished loading.
--run-without-sandbox-for-testing[4] ,Load the engine outside the sandbox. This is only to be used for manual testing.
--safebrowsing-manual-download-blacklist ,"List of comma-separated sha256 hashes of executable files which the download-protection service should treat as ""dangerous."" For a file to show a warning, it also must be considered a dangerous filetype and not be whitelisted otherwise (by signature or URL) and must be on a supported OS. Hashes are in hex. This is used for manual testing when looking for ways to by-pass download protection."
--SafeSites ,No description
--saml-password-change-url ,Password change url for SAML users. Remove when https://crbug.com/941489 is fixed.
--sandbox-ipc ,Causes the process to run as a sandbox IPC subprocess.
--sandbox-mojo-pipe-token ,Mojo pipe token generated in the broker process and passed to the sandbox process to bind with the EngineCommands IPC interface.
--sandboxed-process-id ,Used to identify the id of the sandbox process that is intended to be spawned.
--save-page-as-mhtml ,"Disable saving pages as HTML-only, disable saving pages as HTML Complete (with a directory of sub-resources). Enable only saving pages as MHTML. See http://crbug.com/120416 for how to remove this switch."
--scan-locations ,"Used to limit trace locations that will be scanned. Trace locations should be specified as integers, separated by commas. For example: --scan-locations=1,2,3,5"
--scanning-timeout ,"Set the timeout for the scanning phase, in minutes. 0 disables the timeout entirely. WARNING: this switch is used by internal test systems. Be careful when making changes."
--scheduler-configuration[6] ,Selects the scheduler configuration specified in the parameter.
--screen-config ,"Specifies the initial screen configuration, or state of all displays, for FakeDisplayDelegate, see class for format details."
--screenshot ,Save a screenshot of the loaded page.
--search-provider-logo-url ,Use a static URL for the logo of the default search engine. Example: https://www.google.com/branding/logo.png
--secondary-display-layout ,"Specifies the layout mode and offsets for the secondary display for testing. The format is ""<t|r|b|l>,<offset>"" where t=TOP, r=RIGHT, b=BOTTOM and L=LEFT. For example, 'r,-100' means the secondary display is positioned on the right with -100 offset. (above than primary)"
--service ,The process type value which causes a process to run as a cloud print service process. DO NOT CHANGE THIS VALUE. Cloud printing relies on an external binary launching Chrome with this process type.
--service-manager ,The value of the |kProcessType| switch which tells the executable to assume the role of a standalone Service Manager instance.
--service-name ,"Indicates the name of the service to run. Useful for debugging, or if a service executable is built to support being run as a number of potential different services."
--service-request-attachment-name ,The name of the |service_manager::mojom::ServiceRequest| message pipe handle that is attached to the incoming Mojo invitation received by the service.
--service-request-channel-token ,The token to use to construct the message pipe for a service in a child process.
--service-runner ,The value of the |kProcessType| switch which tells the executable to assume the role of a service instance.
--service-sandbox-type ,"Type of sandbox to apply to the process running the service, one of the values in the next block."
--set-extension-throttle-test-params ,Set the parameters for ExtensionURLLoaderThrottleBrowserTest.
--shader-disk-cache-size-kb ,"Allows explicitly specifying the shader disk cache size for embedded devices. Default value is 6MB. On Android, 2MB is default and 128KB for low-end devices."
--shared-files ,"Describes the file descriptors passed to a child process in the following list format: <file_id>:<descriptor_id>,<file_id>:<descriptor_id>,... where <file_id> is an ID string from the manifest of the service being launched and <descriptor_id> is the numeric identifier of the descriptor for the child process can use to retrieve the file descriptor from the global descriptor table."
--shelf-dense-clamshell ,"Smaller, denser shelf in clamshell mode."
--shelf-hotseat ,New modular design for the shelf with apps separated into a hotseat UI.
--shelf-hover-previews ,App window previews when hovering over the shelf.
--shelf-scrollable ,Scrollable list of apps on the shelf.
--shill-stub ,"Overrides Shill stub behavior. By default, ethernet, wifi and vpn are enabled, and transitions occur instantaneously. Multiple options can be comma separated (no spaces). Note: all options are in the format 'foo=x'. Values are case sensitive and based on Shill names in service_constants.h. See FakeShillManagerClient::SetInitialNetworkState for implementation. Examples: 'clear=1' - Clears all default configurations 'wifi=on' - A wifi network is initially connected ('1' also works) 'wifi=off' - Wifi networks are all initially disconnected ('0' also works) 'wifi=disabled' - Wifi is initially disabled 'wifi=none' - Wifi is unavailable 'wifi=portal' - Wifi connection will be in Portal state 'cellular=1' - Cellular is initially connected 'cellular=LTE' - Cellular is initially connected, technology is LTE 'interactive=3' - Interactive mode, connect/scan/etc requests take 3 secs"
--short-merge-session-timeout-for-test[6] ,Use a short (1 second) timeout for merge session loader throttle testing.
--short-reporting-delay ,Sets the Reporting API delay to under a second to allow much quicker reports.
--show-aggregated-damage ,"Adds a DebugBorderDrawQuad to the top of the root RenderPass showing the damage rect after surface aggregation. Note that when enabled this feature sets the entire output rect as damaged after adding the quad to highlight the real damage rect, which could hide damage rect problems."
--show-android-files-in-files-app ,"If true, files in Android internal storage will be shown in Files app."
--show-app-list ,If true the app list will be shown.
--show-autofill-signatures ,Annotates forms and fields with Autofill signatures.
--show-autofill-type-predictions ,Annotates forms with Autofill field type predictions.
--show-component-extension-options ,Makes component extensions appear in chrome://settings/extensions.
--show-composited-layer-borders ,Renders a border around compositor layers to help debug and study layer compositing.
--show-dc-layer-debug-borders ,Show debug borders for DC layers - red for overlays and blue for underlays. The debug borders are offset from the layer rect by a few pixels for clarity.
--show-fps-counter ,"Draws a heads-up-display showing Frames Per Second as well as GPU memory usage. If you also use --enable-logging=stderr --vmodule=""head*=1"" then FPS will also be output to the console log."
--show-icons[1] ,See kHideIcons.
--show-layer-animation-bounds ,Renders a border that represents the bounding box for the layer's animation.
--show-layout-shift-regions ,Visibly render a border around layout shift rects in the web page to help debug and study layout shifts.
--show-login-dev-overlay ,"If true, the developer tool overlay will be shown for the login/lock screen. This makes it easier to test layout logic."
--show-mac-overlay-borders[11] ,Show borders around CALayers corresponding to overlays and partial damage.
--show-overdraw-feedback ,"Visualize overdraw by color-coding elements based on if they have other elements drawn underneath. This is good for showing where the UI might be doing more rendering work than necessary. The colors are hinting at the amount of overdraw on your screen for each pixel, as follows: True color: No overdraw. Blue: Overdrawn once. Green: Overdrawn twice. Pink: Overdrawn three times. Red: Overdrawn four or more times."
--show-paint-rects ,Visibly render a border around paint rects in the web page to help debug and study painting behavior.
--show-property-changed-rects ,Show rects in the HUD around layers whose properties have changed.
--show-screenspace-rects ,Show rects in the HUD around the screen-space transformed bounds of every layer.
--show-surface-damage-rects ,Show rects in the HUD around damage as it is recorded into each render surface.
--show-taps ,"Draws a circle at each touch point, similar to the Android OS developer option ""Show taps""."
--show-webui-lock ,"If true, the webui lock screen wil be shown. This is deprecated and will be removed in the future."
--show-webui-login ,Forces the webui login implementation.
--silent-debugger-extension-api ,Does not show an infobar when an extension attaches to a page using chrome.debugger page. Required to attach to extension background pages.
--silent-launch ,Causes Chrome to launch without opening any windows by default. Useful if one wishes to use Chrome as an ash server.
--simulate-critical-update ,Simulates a critical update being available.
--simulate-elevated-recovery ,Simulates that elevation is needed to recover upgrade channel.
--simulate-outdated ,Simulates that current version is outdated.
--simulate-outdated-no-au ,Simulates that current version is outdated and auto-update is off.
--simulate-upgrade ,Simulates an update being available.
--single-process ,Runs the renderer and plugins in the same process as the browser
--site-per-process ,"Enforces a one-site-per-process security policy: * Each renderer process, for its whole lifetime, is dedicated to rendering pages for just one site. * Thus, pages from different sites are never in the same process. * A renderer process's access rights are restricted based on its site. * All cross-site navigations force process swaps. * <iframe>s are rendered out-of-process whenever the src= is cross-site. More details here: - https://www.chromium.org/developers/design-documents/site-isolation - https://www.chromium.org/developers/design-documents/process-models - The class comment in site_instance.h, listing the supported process models. IMPORTANT: this isn't to be confused with --process-per-site (which is about process consolidation, not isolation). You probably want this one."
--skia-font-cache-limit-mb ,"Specifies the max number of bytes that should be used by the skia font cache. If the cache needs to allocate more, skia will purge previous entries."
--skia-resource-cache-limit-mb ,Specifies the max number of bytes that should be used by the skia resource cache. The previous entries are purged from the cache when the memory useage exceeds this limit.
--slow-down-compositing-scale-factor ,"Re-draw everything multiple times to simulate a much slower machine. Give a slow down factor to cause renderer to take that many times longer to complete, such as --slow-down-compositing-scale-factor=2."
--slow-down-raster-scale-factor ,"Re-rasters everything multiple times to simulate a much slower machine. Give a scale factor to cause raster to take that many times longer to complete, such as --slow-down-raster-scale-factor=25."
--sms-test-messages ,Sends test messages on first call to RequestUpdate (stub only).
--spdy-proxy-auth-fallback ,The origin of the data reduction proxy fallback.
--spdy-proxy-auth-origin ,The origin of the data reduction proxy.
--spdy-proxy-auth-value ,A test key for data reduction proxy authentication.
--ssl-key-log-file ,Causes SSL key material to be logged to the specified file for debugging purposes. See https://developer.mozilla.org/en-US/docs/Mozilla/Projects/NSS/Key_Log_Format for the format.
--ssl-version-max ,"Specifies the maximum SSL/TLS version (""tls1.2"" or ""tls1.3"")."
--ssl-version-min ,"Specifies the minimum SSL/TLS version (""tls1"", ""tls1.1"", ""tls1.2"", or ""tls1.3"")."
--stable-release-mode ,"This makes us disable some web-platform runtime features so that we test content_shell as if it was a stable release. It is only followed when kRunWebTest is set. For the features' level, see http://dev.chromium.org/blink/runtime-enabled-features."
--start-fullscreen ,"Specifies if the browser should start in fullscreen mode, like if the user had pressed F11 right after startup."
--start-maximized ,"Starts the browser maximized, regardless of any previous settings."
--start-stack-profiler ,Starts the stack sampling profiler in the child process.
--started ,Value for kTestCrosGaiaIdMigration indicating that migration is started (i.e. all stored user keys will be converted to GaiaId)
--stub ,No description
--suppress-message-center-popups ,Hides all Message Center notification popups (toasts). Used for testing.
--surface ,No description
--swiftshader ,No description
--swiftshader-webgl ,No description
--sync-allow-insecure-xmpp-connection ,Allows insecure XMPP connections for sync (for testing).
--sync-deferred-startup-timeout-seconds ,Allows overriding the deferred init fallback timeout.
--sync-disable-deferred-startup ,Enables deferring sync backend initialization until user initiated changes occur.
--sync-enable-get-update-before-commits ,"TODO(crbug.com/657130): Sync integration tests depend on the precommit get updates because invalidations aren't working for them. Therefore, they pass the command line switch to enable this feature. Once sync integrations test support invalidation, this should be removed. Enables feature to perform GetUpdate requests before every commit."
--sync-include-specifics ,"Controls whether the initial state of the ""Capture Specifics"" flag on chrome://sync-internals is enabled."
--sync-notification-host-port ,Overrides the default host:port used for notifications.
--sync-short-initial-retry-override ,"This flag causes sync to retry very quickly (see polling_constants.h) the when it encounters an error, as the first step towards exponential backoff."
--sync-short-nudge-delay-for-test ,"This flag significantly shortens the delay between nudge cycles. Its primary purpose is to speed up integration tests. The normal delay allows coalescing and prevention of server overload, so don't use this unless you're really sure that it's what you want."
--sync-url ,Overrides the default server used for profile sync.
--system-developer-mode ,Used by FakeDebugDaemonClient to specify that the system is running in dev mode when running in a Linux environment. The dev mode probing is done by session manager.
--system-gesture-start-height ,The number of pixels from the very top or bottom of the screen to consider as a valid origin for the top or bottom swipe gesture. Overrides the default value in cast_system_gesture_handler.cc.
--system-gesture-start-width ,The number of pixels from the very left or right of the screen to consider as a valid origin for the left or right swipe gesture. Overrides the default value in cast_system_gesture_handler.cc.
--system-log-upload-frequency ,Frequency in Milliseconds for system log uploads. Should only be used for testing purposes.
--task-manager-show-extra-renderers ,Sets the task manager to track extra renderer processes that might not normally be displayed in the task manager.
--test-child-process ,"When running certain tests that spawn child processes, this switch indicates to the test framework that the current process is a child process."
--test-cros-gaia-id-migration ,"Controls CrOS GaiaId migration for tests ("""" is default)."
--test-do-not-initialize-icu ,"When running certain tests that spawn child processes, this switch indicates to the test framework that the current process should not initialize ICU to avoid creating any scoped handles too early in startup."
--test-encryption-migration-ui ,Enables testing for encryption migration UI.
--test-gl-lib ,"Flag used for Linux tests: for desktop GL bindings, try to load this GL library first, but fall back to regular library if loading fails."
--test-logging-path ,Set a path to save logs in while testing.
--test-logging-url ,"Set a test logging URL, where logs will be uploaded."
--test-name ,Passes the name of the current running automated test to Chrome.
--test-type ,"Type of the current test harness (""browser"" or ""ui"")."
--test-wallpaper-server ,Enables the wallpaper picker to fetch images from the test server.
--testing ,"Flag set during testing and stored as a crash key, to differentiate from crashes received from actual users. WARNING: this switch is used by internal test systems. Be careful when making changes."
--tether-host-scans-ignore-wired-connections ,Tells the Chromebook to scan for a tethering host even if there is already a wired connection. This allows end-to-end tests to be deployed over ethernet without that connection preventing scans and thereby blocking the testing of cases with no preexisting connection. Should be used only for testing.
--tether-stub ,"Overrides Tether with stub service. Provide integer arguments for the number of fake networks desired, e.g. 'tether-stub=2'."
--third-party-doodle-url ,Overrides the Doodle URL to use for third-party search engines. Testing? Try: https://www.gstatic.com/chrome/ntp/doodle_test/third_party_simple.json https://www.gstatic.com/chrome/ntp/doodle_test/third_party_animated.json
--timeout ,Issues a stop after the specified number of milliseconds. This cancels all navigation and causes the DOMContentLoaded event to fire.
--tint-gl-composited-content ,Tint GL-composited color.
--tls1 ,TLS 1.0 mode for the |kSSLVersionMin| switch.
--tls1.1 ,TLS 1.1 mode for the |kSSLVersionMin| switch.
--tls1.2 ,TLS 1.2 mode for |kSSLVersionMax| and |kSSLVersionMin| switches.
--tls1.3 ,TLS 1.2 mode for |kSSLVersionMax| and |kSSLVersionMin| switches.
--top-chrome-touch-ui ,Controls touch-optimized UI layout for top chrome.
--top-controls-hide-threshold ,Percentage of the browser controls need to be hidden before they will auto hide.
--top-controls-show-threshold ,Percentage of the browser controls need to be shown before they will auto show.
--touch-calibration[12] ,"The calibration factors given as ""<left>,<right>,<top>,<bottom>""."
--touch-devices[18] ,Tells chrome to interpret events from these devices as touch events. Only available with XInput 2 (i.e. X server 1.8 or above). The id's of the devices can be retrieved from 'xinput list'.
--touch-events ,Enable support for touch event feature detection.
--touch-noise-filtering[12] ,Tells Chrome to do additional touch noise filtering. Should only be used if the driver level filtering is insufficient.
--touch-selection-strategy ,"Controls how text selection granularity changes when touch text selection handles are dragged. Should be ""character"" or ""direction"". If not specified, the platform default is used."
--touchscreen-usable-while-screen-off ,"Chromebases' touchscreens can be used to wake from suspend, unlike the touchscreens on other Chrome OS devices. If set, the touchscreen is kept enabled while the screen is off so that it can be used to turn the screen back on after it has been turned off for inactivity but before the system has suspended."
--touch_view ,No description
--trace-config-file ,Causes TRACE_EVENT flags to be recorded from startup. This flag will be ignored if --trace-startup or --trace-shutdown is provided.
--trace-startup ,"Causes TRACE_EVENT flags to be recorded from startup. Optionally, can specify the specific trace categories to include (e.g. --trace-startup=base,net) otherwise, all events are recorded. Setting this flag results in the first call to BeginTracing() to receive all trace events since startup. In Chrome, you may find --trace-startup-file and --trace-startup-duration to control the auto-saving of the trace (not supported in the base-only TraceLog component)."
--trace-startup-duration ,"Sets the time in seconds until startup tracing ends. If omitted a default of 5 seconds is used. Has no effect without --trace-startup, or if --startup-trace-file=none was supplied."
--trace-startup-file ,"If supplied, sets the file which startup tracing will be stored into, if omitted the default will be used ""chrometrace.log"" in the current directory. Has no effect unless --trace-startup is also supplied. Example: --trace-startup --trace-startup-file=/tmp/trace_event.log As a special case, can be set to 'none' - this disables automatically saving the result to a file and the first manually recorded trace will then receive all events since startup."
--trace-startup-owner ,"Specifies the coordinator of the startup tracing session. If the legacy tracing backend is used instead of perfetto, providing this flag is not necessary. Valid values: 'controller', 'devtools', or 'system'. Defaults to 'controller'. If 'controller' is specified, the session is controlled and stopped via the TracingController (e.g. to implement the timeout). If 'devtools' is specified, the startup tracing session will be owned by DevTools and thus can be controlled (i.e. stopped) via the DevTools Tracing domain on the first session connected to the browser endpoint. If 'system' is specified, the system Perfetto service should already be tracing on a supported platform (currently only Android). Session is stopped through the normal methods for stopping system traces."
--trace-startup-record-mode ,"If supplied, sets the tracing record mode; otherwise, the default ""record-until-full"" mode will be used."
--trace-to-console ,Sends a pretty-printed version of tracing info to the console.
--trace-to-file ,Sends trace events from these categories to a file. --trace-to-file on its own sends to default categories.
--trace-to-file-name ,"Specifies the file name for --trace-to-file. If unspecified, it will go to a default file name."
--trace-upload-url ,Sets the target URL for uploading tracing data.
--translate-ranker-model-url ,Overrides the URL from which the translate ranker model is downloaded.
--translate-script-url ,Overrides the default server used for Google Translate.
--translate-security-origin ,Overrides security-origin with which Translate runs in an isolated world.
--true ,Value indicating whether flag from command line switch is true.
--trustable-bundled-exchanges-file ,Accepts specified file as a trustable BundledExchanges file. This flag should be used only for testing purpose.
--trusted-cdn-base-url-for-tests[8] ,Specifies a base URL for the trusted CDN for tests.
--trusted-download-sources ,"Identifies a list of download sources as trusted, but only if proper group policy is set."
--try-chrome-again ,Experimental. Shows a dialog asking the user to try chrome. This flag is to be used only by the upgrade process.
--try-supported-channel-layouts[1] ,"Instead of always using the hardware channel layout, check if a driver supports the source channel layout. Avoids outputting empty channels and permits drivers to enable stereo to multichannel expansion. Kept behind a flag since some drivers lie about supported layouts and hang when used. See http://crbug.com/259165 for more details."
--type ,"Indicates the type of process to run. This may be ""service-manager"", ""service-runner"", or any other arbitrary value supported by the embedder."
--ui-compositor-memory-limit-when-visible-mb ,No description
--ui-disable-partial-swap ,Disable partial swap which is needed for some OpenGL drivers / emulators.
--ui-disable-zero-copy ,No description
--ui-enable-layer-lists ,Switches the ui compositor to use layer lists instead of layer trees.
--ui-enable-rgba-4444-textures ,No description
--ui-enable-zero-copy ,No description
